scope_date,scope_timezone,user_id,display_name,discord_id,discord_username,discord_global_name,is_bot,hands,vpip_pct,vpip_num,vpip_den,pfr_pct,pfr_num,pfr_den,three_bet_pct,three_bet_num,three_bet_den,four_bet_pct,four_bet_num,four_bet_den,fold_to_three_bet_pct,fold_to_three_bet_num,fold_to_three_bet_den,fold_to_four_bet_pct,fold_to_four_bet_num,fold_to_four_bet_den,cbet_flop_pct,cbet_flop_num,cbet_flop_den,cbet_turn_pct,cbet_turn_num,cbet_turn_den,cbet_river_pct,cbet_river_num,cbet_river_den,fold_to_cbet_flop_pct,fold_to_cbet_flop_num,fold_to_cbet_flop_den,fold_to_cbet_turn_pct,fold_to_cbet_turn_num,fold_to_cbet_turn_den,fold_to_cbet_river_pct,fold_to_cbet_river_num,fold_to_cbet_river_den,aggression,aggression_num,aggression_den,aggression_freq_pct,aggression_freq_num,aggression_freq_den,wtsd_pct,wtsd_num,wtsd_den,wsd_pct,wsd_num,wsd_den,wwsf_pct,wwsf_num,wwsf_den,bb_per_100,bb_per_100_num_cbb,bb_per_100_den_hands,net_cbb,showdown_cbb,non_showdown_cbb
,,5ff543b0-c639-4556-96c5-0dd9b0da8f3f,つー,593844453157109771,tsu3478,つー,false,1019,24.2,239,987,17.8,176,987,7.6,27,353,7.7,5,65,55.3,21,38,60,3,5,71.4,40,56,78.3,18,23,76.9,10,13,27.3,3,11,50,1,2,100,1,1,2.69,121,45,35.8,121,338,32.6,43,132,51.2,22,43,59.1,78,132,43.01,43824,1019,43824,30534,13290
,,a80f5487-b136-4367-8b19-16783c618509,とーち,792928441874776094,torch_y777,とーち,false,690,25.5,172,675,19.7,133,675,13.3,28,211,6.7,4,60,68.6,24,35,50,3,6,60,24,40,20,3,15,0,0,1,100,1,1,0,0,0,0,0,0,3.00,63,21,32.8,63,192,30.3,27,89,55.6,15,27,39.3,35,89,-32.66,-22535,690,-22535,-13236,-9299
,,5d11b319-a8db-41a1-9f1f-841f029e3e94,なんでやねん,958332325454811186,nandeyanen9584,なんでやねん,false,1225,25.5,306,1202,19.2,231,1202,13.6,49,360,6.3,5,80,84.6,44,52,60,9,15,43.4,33,76,45,9,20,33.3,1,3,35.7,5,14,0,0,2,0,0,0,1.66,103,62,25.8,103,399,40,64,160,51.6,33,64,50,80,160,2.26,2769,1225,2769,5383,-2614
,,9c574465-2987-4477-a4c3-2faf6d15ff07,ねくと,345471991148576778,nectcom,ねくと,false,184,27.2,49,180,21.7,39,180,15.4,8,52,22.2,2,9,57.1,4,7,0,0,1,80,8,10,25,1,4,0,0,0,0,0,1,100,1,1,0,0,0,2.43,17,7,34,17,50,28.6,6,21,50,3,6,47.6,10,21,-62.15,-11435,184,-11435,-10356,-1079
,,02fe14cf-da73-4ddd-9336-891562e8e504,ばどえあー,300245697104445452,amylase_f85,ばどえあー,false,601,20.6,122,592,16.4,97,592,8.3,16,193,11.8,6,51,64,16,25,0,0,0,48.7,19,39,40,4,10,0,0,1,33.3,2,6,0,0,1,0,0,0,1.75,42,24,27.8,42,151,25.7,18,70,72.2,13,18,55.7,39,70,-18.82,-11308,601,-11308,-5,-11303
,,04c7ad72-eb4c-4519-8c5c-99270e8c8371,ほたるいか,1132590201852678214,86340,ほたか,false,174,17.9,31,173,15,26,173,19.4,7,36,22.2,2,9,71.4,5,7,0,0,1,61.5,8,13,20,1,5,0,0,1,0,0,1,0,0,0,0,0,0,5.33,16,3,35.6,16,45,38.9,7,18,71.4,5,7,61.1,11,18,26.66,4638,174,4638,3216,1422
,,9e957ef9-4bb4-41ec-a9ec-6b0a6ddf99b0,ぼくだよ,698064044451561492,bokudayooo,ぼくだよ,false,12,41.7,5,12,33.3,4,12,25,1,4,100,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,100,1,1,0,0,0,0.00,0,1,0,0,2,0,0,2,0,0,0,0,0,2,-167.42,-2009,12,-2009,0,-2009
,,a8c0d9c2-0f34-4feb-97a6-7dcb57bfd0e5,らねおか,492652495156281354,crister0325,らねおか,false,21,19,4,21,19,4,21,0,0,2,0,0,0,0,0,0,0,0,0,50,1,2,100,1,1,0,0,1,0,0,0,0,0,0,0,0,0,99.00,3,0,50,3,6,100,2,2,100,2,2,100,2,2,89.38,1877,21,1877,1777,100
,,492a90f1-2674-4b99-aa87-79a982d2bf7a,るも,750276220603596881,rumo_icu,るも,false,155,23,35,152,21.1,32,152,20.5,9,44,9.1,1,11,100,5,5,100,2,2,36.4,4,11,66.7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2.20,11,5,34.4,11,32,21.4,3,14,66.7,2,3,64.3,9,14,74.53,11552,155,11552,9814,1738
,,688bc300-0afd-44a9-aed7-82df0ada7b00,イナズマKすけ,713226729702817842,inazumaksuke,イナズマKすけ,false,375,20.6,76,369,17.6,65,369,15.1,16,106,0,0,24,76.9,10,13,100,2,2,30.4,7,23,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0.82,18,22,18.6,18,97,48.6,18,37,50,9,18,48.6,18,37,-49.88,-18706,375,-18706,-12389,-6317
,,165f900a-a880-4f48-90a2-fd58ed8718de,カイン,847727857143906344,kain77777,カイン,false,177,29.1,50,172,17.4,30,172,5.9,3,51,9.1,1,11,42.9,3,7,50,1,2,33.3,2,6,0,0,0,0,0,0,100,2,2,0,0,0,0,0,0,0.87,13,15,18.8,13,69,32.1,9,28,77.8,7,9,35.7,10,28,5.52,977,177,977,7487,-6510
,,39d80bca-cf73-4075-967c-a8a64b2c5595,ゴン02（江戸犬）,718065236162379827,gon02edken,ゴン02（江戸犬）,false,1602,23,356,1545,19,294,1545,12.1,64,531,8.5,8,94,60.9,39,64,50,4,8,60.2,59,98,42.4,14,33,33.3,1,3,41.7,5,12,66.7,2,3,0,0,1,2.07,139,67,32.4,139,429,37.1,69,186,55.1,38,69,54.8,102,186,19.56,31331,1602,31331,13464,17867
,,cb7bbe31-7a10-4e8c-91bf-001618e08d40,ノガード,757581689034637353,nogard_a,ノガード,false,1268,21.6,267,1234,18.1,223,1234,9.4,39,413,16,13,81,70.5,31,44,60,6,10,52.6,41,78,26.3,5,19,66.7,2,3,36.4,4,11,25,1,4,33.3,1,3,3.24,107,33,38.1,107,281,31.5,40,127,55,22,40,50.4,64,127,9.25,11723,1268,11723,19792,-8069
,,605b96e3-56ed-49d6-aef9-361b116cb682,レモン,470194541052297226,lemon7726,Lemon,false,14,35.7,5,14,21.4,3,14,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50,1,2,16.7,1,6,0,0,2,0,0,0,0,0,2,-130.21,-1823,14,-1823,0,-1823
,,27c88f0f-08a3-4152-8330-93e193d95043,ワイエム,249500899691593730,waiemu_93,ワイエム,false,185,51.1,93,182,15.4,28,182,2.8,2,71,4.2,1,24,9.1,1,11,0,0,0,0,0,7,0,0,0,0,0,0,11.1,1,9,0,0,2,100,1,1,0.60,38,63,15.4,38,246,51.2,41,80,39,16,41,38.8,31,80,-75.05,-13884,185,-13884,-16567,2683
,,b40c0fb4-0d63-4842-b999-25a9cffc7b79,揚げもっちー２,826799367515668520,hizy7783,,false,540,20.8,110,529,16.8,89,529,16.6,25,151,25,7,28,61.9,13,21,20,1,5,53.6,15,28,40,4,10,0,0,1,14.3,1,7,66.7,2,3,100,1,1,3.54,46,13,39,46,118,26.8,15,56,33.3,5,15,46.4,26,56,-50.3,-27164,540,-27164,-15280,-11884
,,4760cf4b-9f7f-4790-aabb-d3567f49f056,粗茶,723770937971048470,soichiroueda,Saza,false,581,24,136,567,18.7,106,567,9.1,15,165,14.3,7,49,57.7,15,26,50,1,2,67.5,27,40,38.5,5,13,33.3,1,3,16.7,1,6,0,0,2,0,0,1,1.68,62,37,34.6,62,179,35.6,26,73,46.2,12,26,53.4,39,73,-20.12,-11689,581,-11689,-10191,-1498
