player_id,プレイヤー,リーグ,収支,bb_size,ハンド数,参加節数,VPIP,VPIP_count,VPIP_hands,PFR,PFR_count,PFR_hands,3bet,3bet_count,3bet_hands,Fold to 3bet,Fold_to_3bet_count,Fold_to_3bet_hands,CB,CB_count,CB_hands,WTSD,WTSD_count,WTSD_hands,W$SD,W$SD_count,W$SD_hands
QBTw2JRIw5,Ramune,C,+89.75,20,656,1,21.04,138,656,16.16,106,656,12.12,20,165,61.9,13,21,51.06,24,47,31.4,27,86,51.85,14,27
vdNIJNJGUU,すとふぁ,C,+425.61,20,656,1,24.54,161,656,20.88,137,656,18.39,32,174,66.67,14,21,66.67,34,51,41.25,33,80,42.42,14,33
5c5ab738-0853-445d-8cfa-e5489e42a203,jin,C,-12.92,20,627,1,31.42,197,627,23.6,148,627,20.24,34,168,21.95,9,41,64.86,24,37,40.0,46,115,41.3,19,46
rhUBwDuHCf,konishi,C,-441.36,20,600,1,19.83,119,600,15.0,90,600,12.03,19,158,41.18,7,17,62.07,18,29,48.48,32,66,37.5,12,32
MOu3OETQYg,take,D,+3.37,20,585,1,18.46,108,585,13.85,81,585,9.24,17,184,22.73,5,22,76.67,23,30,28.36,19,67,47.37,9,19
e568f359-6293-44ce-ab7e-da0a4cc386f4,t-two,D,+154.51,20,581,1,25.47,148,581,17.38,101,581,8.71,21,241,66.67,20,30,52.94,18,34,30.68,27,88,51.85,14,27
GtqOGZOqIV,粗茶,C,-116.89,20,581,1,23.41,136,581,18.24,106,581,9.09,15,165,57.69,15,26,67.5,27,40,35.62,26,73,46.15,12,26
-R7k1ogPyi,SHINJI1223,C,+25.68,20,567,1,27.51,156,567,23.63,134,567,18.29,32,175,46.15,12,26,73.21,41,56,47.19,42,89,52.38,22,42
yEOnuJcBZo,Rabbit900,C,-518.71,20,550,1,23.82,131,550,18.36,101,550,18.12,25,138,45.0,9,20,56.41,22,39,39.19,29,74,31.03,9,29
b40c0fb4-0d63-4842-b999-25a9cffc7b79,揚げもっちー２,C,-271.64,20,540,1,20.37,110,540,16.48,89,540,16.56,25,151,61.9,13,21,53.57,15,28,26.79,15,56,33.33,5,15
SQgoIV_H58,けーたさん,C,-386.9,20,526,1,20.72,109,526,15.59,82,526,8.8,19,216,33.33,7,21,61.54,16,26,36.36,24,66,41.67,10,24
yOGROR9-hE,ワイエム,C,-592.6,20,516,1,44.57,230,516,13.95,72,516,6.7,14,209,11.76,2,17,25.0,7,28,47.0,94,200,35.11,33,94
3e3525d1-f54e-4a8c-81f7-e5dbf5746d2e,PONO,D,-29.85,20,506,1,18.77,95,506,13.24,67,506,8.43,15,178,70.0,7,10,55.17,16,29,41.38,24,58,58.33,14,24
cS0TbNKfbn,Takatobi,C,+36.89,20,506,1,23.12,117,506,19.57,99,506,15.79,21,133,72.73,16,22,52.63,20,38,45.0,27,60,51.85,14,27
8d5c4768-9957-4bb2-8ae7-6816ad99c03e,Harry,D,+53.47,20,494,1,22.06,109,494,15.38,76,494,3.43,6,175,64.71,11,17,60.61,20,33,34.78,24,69,70.83,17,24
0244c430-805a-4a11-878e-8a5163c41fa5,しーた,D,-72.16,20,493,1,19.88,98,493,16.84,83,493,7.98,15,188,61.9,13,21,51.85,14,27,31.25,15,48,46.67,7,15
c8c305c8-b68b-4dad-bf66-c6cf3b86dd85,shoheihoh,D,-290.38,20,466,1,25.75,120,466,20.82,97,466,12.09,22,182,45.83,11,24,57.58,19,33,39.39,26,66,34.62,9,26
9kBl9X8tEm,だいすけ,C,+191.73,20,464,1,25.43,118,464,15.95,74,464,12.63,24,190,50.0,6,12,41.67,15,36,28.57,24,84,41.67,10,24
26v7hSw7Sn,わた,C,-388.68,20,450,1,34.89,157,450,27.56,124,450,23.35,39,167,24.14,7,29,65.91,29,44,29.47,28,95,32.14,9,28
YkRLv6Nf7r,27,C,-347.56,20,443,1,25.06,111,443,20.77,92,443,14.88,18,121,75.0,18,24,56.52,13,23,43.75,21,48,57.14,12,21
kVKTrcl3ld,Futa,C,-103.98,20,436,1,25.92,113,436,16.97,74,436,10.97,17,155,42.11,8,19,37.04,10,27,29.73,22,74,40.91,9,22
DZezvMNAJy,Noram,C,-247.47,20,436,1,26.15,114,436,19.27,84,436,14.29,15,105,52.38,11,21,41.94,13,31,28.17,20,71,40.0,8,20
EI0h9NvLRP,いっせ,C,+98.2,20,435,1,23.22,101,435,18.39,80,435,14.81,16,108,65.0,13,20,50.0,14,28,32.73,18,55,55.56,10,18
7d886adf-16f4-4e07-ba37-9af246a7cf52,SAKO,D,-372,20,428,1,33.88,145,428,18.93,81,428,8.14,14,172,66.67,16,24,48.28,14,29,37.76,37,98,43.24,16,37
4d81b2a2-661e-469e-aa93-f16655f79215,N_ene,C,-397.44,20,418,1,44.74,187,418,39.0,163,418,30.65,38,124,65.79,25,38,63.79,37,58,49.47,47,95,46.81,22,47
HZmCRZd6SG,Neku,C,+48.07,20,413,1,22.52,93,413,17.19,71,413,7.84,12,153,85.0,17,20,38.1,8,21,30.43,14,46,71.43,10,14
c47d4473-9ba3-4118-b23a-6b4b45af3f12,ShigreUi,D,+262.37,20,411,1,17.52,72,411,16.3,67,411,8.51,12,141,52.94,9,17,40.74,11,27,33.33,13,39,69.23,9,13
fb20ad0b-a6bc-4ac4-a705-f477c854116f,Ryo,D,-443.77,20,404,1,27.48,111,404,18.32,74,404,11.69,18,154,52.63,10,19,81.48,22,27,29.58,21,71,38.1,8,21
wO4Vw2dQ8t,イナズマKすけ,C,-187.06,20,375,1,20.27,76,375,17.33,65,375,15.09,16,106,76.92,10,13,30.43,7,23,48.65,18,37,50.0,9,18
1d32d216-4345-4ad5-a5f1-926c9e8b1195,danbo,D,-167.96,20,364,1,20.33,74,364,14.29,52,364,6.72,9,134,20.0,2,10,40.0,10,25,25.49,13,51,46.15,6,13
1d186691-036d-4627-b99c-2a88014e7853,はなうさ,D,-131.01,20,364,1,37.64,137,364,26.37,96,364,18.38,25,136,20.0,5,25,64.52,20,31,31.18,29,93,48.28,14,29
971712d5-777f-4352-8d9a-b73723b1b0cb,kohey634,D,-212.34,20,340,1,17.94,61,340,15.29,52,340,12.17,14,115,54.55,6,11,52.94,9,17,30.0,9,30,44.44,4,9
SrJdWlcNBY,RYOTA,C,-55.72,20,337,1,18.1,61,337,13.06,44,337,11.9,10,84,77.78,7,9,33.33,4,12,29.03,9,31,44.44,4,9
5a2f2349-2076-4d91-9540-446b451bb025,FourTet,D,-171.17,20,309,1,24.27,75,309,18.77,58,309,9.82,11,112,61.11,11,18,33.33,5,15,37.84,14,37,35.71,5,14
gG60J3OV2j,Hibari,C,+95.54,20,306,1,24.84,76,306,21.57,66,306,10.11,9,89,27.27,3,11,56.0,14,25,33.33,13,39,61.54,8,13
251817db-4d47-485c-be51-29c47e0c0296,てるな,D,-240.68,20,296,1,22.97,68,296,16.89,50,296,12.93,15,116,8.33,1,12,76.47,13,17,25.58,11,43,36.36,4,11
dc6da8ae-2813-4d48-87c7-b7fa103edeb3,Shingo2,C,-114.24,20,278,1,28.78,80,278,20.14,56,278,13.79,16,116,58.33,7,12,40.91,9,22,38.46,20,52,50.0,10,20
7n59-giX1P,るも,C,+10.12,20,267,1,23.97,64,267,20.22,54,267,14.74,14,95,100.0,6,6,36.36,8,22,36.36,12,33,33.33,4,12
5dd36f6f-ecc1-497c-93a2-779e89ef5393,Kaoru,D,-13.2,20,259,1,28.96,75,259,22.39,58,259,16.83,17,101,30.0,3,10,81.48,22,27,41.18,21,51,47.62,10,21
