順位,player_id,プレイヤー,リーグ,収支,bb_size,ハンド数,参加節数,VPIP,VPIP_hands,PFR,PFR_hands,3bet,3bet_hands,Fold to 3bet,Fold to 3bet_hands,CB,CB_hands,WTSD,WTSD_hands,W$SD,W$SD_hands
42,TkMT4agdsh,alfort,C,+1800,20,1136,8,28.17,1136,19.1,1136,9.53,472,60.0,40,59.26,81,38.42,177,55.88,68
43,H_d68jYO9T,コロリ,C,+1505,20,182,2,31.32,182,23.08,182,5.71,70,55.56,9,38.46,13,25.93,27,42.86,7
44,yHZrsG6l5j,sigma,C,+1256,20,211,4,31.75,211,19.91,211,6.02,83,70.0,10,47.06,17,45.95,37,52.94,17
45,4WtCZIPG2x,タナカ,C,+1066,20,52,1,30.77,52,21.15,52,20.0,15,100.0,1,100.0,4,42.86,7,66.67,3
46,5v7PwEvIAz,Kay,C,+1028,20,796,7,27.76,796,19.47,796,11.34,335,64.29,28,50.0,56,37.93,116,63.64,44
47,HZmCRZd6SG,Neku,C,+1018,20,486,7,31.69,486,19.14,486,9.0,211,70.59,17,58.06,31,29.63,81,54.17,24
48,n0s1KAOIRL,ころり,C,+1006,20,479,3,36.12,479,22.34,479,10.77,195,56.52,23,53.19,47,24.56,114,64.29,28
49,7htETinMJU,MAX,C,+987,20,225,2,17.78,225,13.78,225,11.01,109,60.0,5,28.57,14,25.0,24,83.33,6
50,upQSzf-M-C,TOMO(),C,+948,20,353,3,25.21,353,20.11,353,14.29,147,75.0,8,33.33,30,36.17,47,70.59,17
51,4GTkR8PieQ,takatobi,C,+872,20,120,1,29.17,120,20.0,120,13.64,44,75.0,4,38.46,13,40.91,22,66.67,9
52,9zseyWfctH,池田,C,+716,20,110,1,36.36,110,29.09,110,21.05,38,100.0,5,53.33,15,36.36,22,62.5,8
53,QWB-qkCzDu,Testes,C,+705,20,46,1,34.78,46,23.91,46,10.53,19,0.0,3,66.67,3,44.44,9,75.0,4
54,FaQTC0bwNd,massan,C,+628,20,63,1,34.92,63,20.63,63,4.76,21,0.0,2,75.0,4,27.27,11,66.67,3
55,cSNEDiUvjX,nekosaki,C,+567,20,74,1,20.27,74,12.16,74,4.0,25,0.0,0,0.0,2,42.86,7,66.67,3
56,0Se4rsLO6v,スーカンツ,C,+532,20,214,1,23.36,214,16.82,214,15.29,85,60.0,5,54.55,11,50.0,24,50.0,12
57,MqZu0oArm3,小鳥遊ひいろ,C,+479,20,491,2,25.25,491,17.72,491,6.45,186,60.0,15,33.33,30,35.94,64,56.52,23
58,XqrTiXnRSu,APO,C,+435,20,488,4,44.88,488,18.03,488,8.16,196,26.09,23,64.1,39,35.92,142,52.94,51
59,QwyEWJtSb1,ElvinSmith,C,+269,20,82,1,35.37,82,28.05,82,20.0,30,66.67,6,60.0,10,53.33,15,50.0,8
60,QK8nAFN9E2,カイン,C,+204,20,650,7,30.62,650,15.23,650,4.85,268,58.33,24,31.03,29,37.27,110,56.1,41
61,cS0TbNKfbn,Takatobi,C,+170,20,430,4,36.05,430,25.81,430,10.4,173,62.96,27,48.72,39,35.9,78,32.14,28
62,_EAr7O2lyX,たろす,C,+163,20,41,1,19.51,41,14.63,41,5.56,18,0.0,1,33.33,3,33.33,6,100.0,2
63,ioqGYIb5SY,tomoyuki,C,+111,20,68,1,30.88,68,13.24,68,4.0,25,100.0,1,33.33,3,25.0,12,66.67,3
64,6N30cpGlP_,Ene,C,+107,20,1429,6,32.12,1429,22.88,1429,11.35,608,48.33,60,52.78,108,31.78,214,50.0,68
65,7M6m0QCn4d,zawazawa,C,+87,20,38,1,23.68,38,21.05,38,12.5,24,0.0,0,60.0,5,42.86,7,100.0,3
66,Figi6mUf2R,Agu,C,+87,20,107,1,39.25,107,28.97,107,15.56,45,100.0,2,71.43,7,23.53,17,50.0,4
67,-zWKG5L3i7,-TOMO-,C,+73,20,79,1,43.04,79,32.91,79,24.0,25,33.33,3,12.5,8,43.75,16,42.86,7
68,gG60J3OV2j,Hibari,C,+60,20,51,1,37.25,51,19.61,51,19.05,21,0.0,1,25.0,4,14.29,7,0.0,1
