player_id,プレイヤー,リーグ,収支,bb_size,ハンド数,参加節数,VPIP,VPIP_count,VPIP_hands,PFR,PFR_count,PFR_hands,3bet,3bet_count,3bet_hands,Fold to 3bet,Fold_to_3bet_count,Fold_to_3bet_hands,CB,CB_count,CB_hands,WTSD,WTSD_count,WTSD_hands,W$SD,W$SD_count,W$SD_hands
X2HiN5-cFQ,ゴン02（江戸犬）,C,+924.71,20,2548,7,23.51,599,2548,19.23,490,2548,11.42,106,928,61.22,60,98,55.19,101,183,38.97,129,331,58.14,75,129
WtIP2AbI23,ノガード,C,+102.15,20,2284,7,24.04,549,2284,19.61,448,2284,9.71,77,793,61.05,58,95,52.94,90,170,34.48,100,290,57.0,57,100
DXrWVNkdav,TNT,B,-1176.89,20,2059,7,37.74,777,2059,29.97,617,2059,26.08,193,740,33.33,36,108,65.2,148,227,44.49,206,463,49.51,102,206
byYrvu0Qdy,ElNino,B,+322.75,20,1968,7,22.87,450,1968,18.24,359,1968,12.65,74,585,51.14,45,88,51.85,70,135,41.41,106,256,49.06,52,106
nPiUhQEVMi,かいる,B,-101.24,20,1762,7,25.26,445,1762,19.18,338,1762,10.54,64,607,52.94,36,68,57.14,76,133,35.25,92,261,53.26,49,92
b7sgMo_M-5,konasho,B,-207.5,20,1700,6,22.12,376,1700,17.88,304,1700,10.44,66,632,73.81,62,84,56.0,56,100,32.6,59,181,49.15,29,59
Sc5KlYAPzP,mo’,C,+227.75,20,1670,6,26.05,435,1670,20.96,350,1670,13.59,81,596,61.33,46,75,41.94,52,124,33.04,76,230,40.79,31,76
r1CBe6Qe79,なんでやねん,B,+230.49,20,1587,7,25.08,398,1587,18.78,298,1587,12.77,65,509,79.03,49,62,42.86,42,98,41.9,88,210,51.14,45,88
bqEtnO6wX9,つー,C,+489.99,20,1578,7,23.7,374,1578,17.55,277,1578,8.49,50,589,61.67,37,60,76.04,73,96,31.75,67,211,46.27,31,67
k5rEzFp2MR,arash!,B,-154.8,20,1473,6,27.36,403,1473,21.11,311,1473,9.59,47,490,64.56,51,79,54.55,60,110,39.72,85,214,45.88,39,85
Oo-rx1G24B,GIL RAIM,C,-445.43,20,1180,6,27.37,323,1180,16.95,200,1180,9.56,37,387,26.67,8,30,48.81,41,84,37.5,84,224,45.24,38,84
j_3joKfzS9,takatony,B,+75.44,20,1068,3,20.41,218,1068,15.64,167,1068,12.7,39,307,66.0,33,50,64.44,29,45,35.71,40,112,47.5,19,40
-QE9uKlHEU,kenyu,C,-372.05,20,950,3,30.21,287,950,19.26,183,950,13.03,37,284,41.86,18,43,71.21,47,66,40.54,75,185,46.67,35,75
hig4fvwo_m,とーち,C,-219.37,20,934,3,25.27,236,934,20.02,187,934,12.42,38,306,65.22,30,46,62.5,35,56,27.97,33,118,51.52,17,33
69a63a1b-d32c-4594-bdef-5fd660661444,sultan.,C,+132.21,20,920,4,22.83,210,920,17.61,162,920,8.53,29,340,51.61,16,31,60.34,35,58,34.48,40,116,55.0,22,40
ZzPjBrJeSm,roi,C,-570.04,20,869,6,25.43,221,869,17.84,155,869,15.38,52,338,50.0,13,26,59.68,37,62,51.39,74,144,44.59,33,74
Kyu60mEERY,Sabosuke,C,+22.94,20,774,2,22.61,175,774,19.12,148,774,11.36,25,220,63.64,28,44,60.0,27,45,32.91,26,79,46.15,12,26
g0yui9LXM4,utos,B,-57,20,738,4,30.08,222,738,23.31,172,738,17.15,41,239,55.0,22,40,61.22,30,49,39.47,45,114,35.56,16,45
WjqaCs8A5o,ばどえあー,B,-77.74,20,702,6,19.8,139,702,15.95,112,702,8.51,20,235,64.29,18,28,52.27,23,44,25.64,20,78,70.0,14,20
WeOKnoOueQ,HINANO,B,+134.34,20,687,5,26.78,184,687,20.52,141,687,18.64,41,220,65.79,25,38,71.15,37,52,34.58,37,107,54.05,20,37
mXg0a8r7as,Fuku,B,-106.28,20,670,6,26.57,178,670,20.3,136,670,20.35,35,172,47.83,11,23,42.55,20,47,31.0,31,100,48.39,15,31
QBTw2JRIw5,Ramune,B,+89.75,20,656,3,21.04,138,656,16.16,106,656,12.12,20,165,61.9,13,21,51.06,24,47,31.4,27,86,51.85,14,27
5c5ab738-0853-445d-8cfa-e5489e42a203,jin,C,-12.92,20,627,3,31.42,197,627,23.6,148,627,20.24,34,168,21.95,9,41,64.86,24,37,40.0,46,115,41.3,19,46
3FatmzAl-m,Kuni,C,+398.81,20,625,2,39.52,247,625,21.92,137,625,10.66,26,244,30.3,10,33,82.61,38,46,41.86,72,172,56.94,41,72
rhUBwDuHCf,konishi,B,-441.36,20,600,4,19.83,119,600,15.0,90,600,12.03,19,158,41.18,7,17,62.07,18,29,48.48,32,66,37.5,12,32
GtqOGZOqIV,粗茶,C,-116.89,20,581,3,23.41,136,581,18.24,106,581,9.09,15,165,57.69,15,26,67.5,27,40,35.62,26,73,46.15,12,26
-R7k1ogPyi,SHINJI1223,B,+25.68,20,567,2,27.51,156,567,23.63,134,567,18.29,32,175,46.15,12,26,73.21,41,56,47.19,42,89,52.38,22,42
yEOnuJcBZo,Rabbit900,B,-518.71,20,550,1,23.82,131,550,18.36,101,550,18.12,25,138,45.0,9,20,56.41,22,39,39.19,29,74,31.03,9,29
b40c0fb4-0d63-4842-b999-25a9cffc7b79,揚げもっちー２,C,-271.64,20,540,1,20.37,110,540,16.48,89,540,16.56,25,151,61.9,13,21,53.57,15,28,26.79,15,56,33.33,5,15
cS0TbNKfbn,Takatobi,C,+36.89,20,506,3,23.12,117,506,19.57,99,506,15.79,21,133,72.73,16,22,52.63,20,38,45.0,27,60,51.85,14,27
YkRLv6Nf7r,27,C,-347.56,20,443,2,25.06,111,443,20.77,92,443,14.88,18,121,75.0,18,24,56.52,13,23,43.75,21,48,57.14,12,21
DZezvMNAJy,Noram,B,-247.47,20,436,1,26.15,114,436,19.27,84,436,14.29,15,105,52.38,11,21,41.94,13,31,28.17,20,71,40.0,8,20
EI0h9NvLRP,いっせ,B,+98.2,20,435,3,23.22,101,435,18.39,80,435,14.81,16,108,65.0,13,20,50.0,14,28,32.73,18,55,55.56,10,18
4d81b2a2-661e-469e-aa93-f16655f79215,N_ene,C,-397.44,20,418,3,44.74,187,418,39.0,163,418,30.65,38,124,65.79,25,38,63.79,37,58,49.47,47,95,46.81,22,47
UHNPbgw1ue,okbokujo,C,+310.32,20,396,3,29.29,116,396,18.69,74,396,10.12,17,168,50.0,6,12,54.17,13,24,29.41,20,68,60.0,12,20
vdNIJNJGUU,すとふぁ,C,+373.08,20,378,2,24.34,92,378,20.37,77,378,24.42,21,86,70.0,7,10,51.72,15,29,40.43,19,47,42.11,8,19
wO4Vw2dQ8t,イナズマKすけ,C,-187.06,20,375,3,20.27,76,375,17.33,65,375,15.09,16,106,76.92,10,13,30.43,7,23,48.65,18,37,50.0,9,18
SrJdWlcNBY,RYOTA,C,-55.72,20,337,1,18.1,61,337,13.06,44,337,11.9,10,84,77.78,7,9,33.33,4,12,29.03,9,31,44.44,4,9
gG60J3OV2j,Hibari,C,+95.54,20,306,2,24.84,76,306,21.57,66,306,10.11,9,89,27.27,3,11,56.0,14,25,33.33,13,39,61.54,8,13
yOGROR9-hE,ワイエム,C,-314.16,20,284,5,49.3,140,284,13.03,37,284,2.63,3,114,9.09,1,11,16.67,2,12,48.76,59,121,35.59,21,59
dc6da8ae-2813-4d48-87c7-b7fa103edeb3,Shingo2,C,-114.24,20,278,2,28.78,80,278,20.14,56,278,13.79,16,116,58.33,7,12,40.91,9,22,38.46,20,52,50.0,10,20
TkMT4agdsh,alfort,C,-129.09,20,257,2,24.51,63,257,19.84,51,257,19.23,15,78,22.22,2,9,59.09,13,22,47.5,19,40,52.63,10,19
QK8nAFN9E2,カイン,C,-74.6,20,257,3,28.02,72,257,15.18,39,257,6.25,5,80,40.0,4,10,44.44,4,9,32.61,15,46,66.67,10,15
4kHSZklLpK,teish,C,-101.11,20,224,2,18.3,41,224,15.18,34,224,8.82,6,68,66.67,4,6,16.67,1,6,53.85,7,13,42.86,3,7
3f54ee51-69b1-4678-8ba5-516769dc6286,SEIHO,C,-204.47,20,203,1,24.63,50,203,19.7,40,203,9.33,7,75,62.5,5,8,81.82,9,11,37.5,9,24,44.44,4,9
iOgb92C-Hi,sasakure,C,-11.76,20,186,1,23.66,44,186,20.97,39,186,11.11,7,63,66.67,4,6,23.08,3,13,26.32,5,19,40.0,2,5
5E5VYl6oOU,ねくと,C,-114.35,20,184,1,26.63,49,184,21.2,39,184,15.38,8,52,57.14,4,7,80.0,8,10,28.57,6,21,50.0,3,6
6weTfFBYpF,ほたるいか,C,+46.38,20,174,1,17.82,31,174,14.94,26,174,19.44,7,36,71.43,5,7,61.54,8,13,38.89,7,18,71.43,5,7
7n59-giX1P,るも,C,+115.52,20,155,1,22.58,35,155,20.65,32,155,20.45,9,44,100.0,5,5,36.36,4,11,21.43,3,14,66.67,2,3
30a66b4c-40ef-4b06-997f-d6699c7f4abf,reene,C,+186.1,20,137,1,38.69,53,137,35.04,48,137,31.91,15,47,36.36,4,11,75.0,15,20,28.57,8,28,50.0,4,8
iBhJbKViQ_,おかピー,C,+69.06,20,121,1,23.97,29,121,19.83,24,121,8.82,3,34,33.33,2,6,36.36,4,11,23.53,4,17,50.0,2,4
nBDoNSY8n2,MIU,C,+15.44,20,113,1,20.35,23,113,15.04,17,113,13.89,5,36,0.0,0,2,71.43,5,7,40.0,6,15,33.33,2,6
kVKTrcl3ld,Futa,B,-87.94,20,75,1,26.67,20,75,21.33,16,75,8.33,2,24,33.33,1,3,33.33,2,6,41.67,5,12,0.0,0,5
