player_id,プレイヤー,リーグ,収支,bb_size,ハンド数,参加節数,VPIP,VPIP_count,VPIP_hands,PFR,PFR_count,PFR_hands,3bet,3bet_count,3bet_hands,Fold to 3bet,Fold_to_3bet_count,Fold_to_3bet_hands,CB,CB_count,CB_hands,WTSD,WTSD_count,WTSD_hands,W$SD,W$SD_count,W$SD_hands
j_3joKfzS9,takatony,C,+220.1,20,3465,8,26.84,930,3465,19.22,666,3465,9.06,125,1380,63.97,87,136,58.57,123,210,31.73,145,457,63.45,92,145
yEOnuJcBZo,Rabbit900,C,+628.1,20,3333,9,27.21,907,3333,20.07,669,3333,12.96,179,1381,53.85,70,130,50.41,123,244,30.63,136,444,61.03,83,136
WeOKnoOueQ,hinano,C,+993.1,20,3322,8,37.93,1260,3322,28.36,942,3322,15.2,205,1349,57.99,98,169,61.56,221,359,35.26,226,641,45.13,102,226
X2HiN5-cFQ,ゴン02（江戸犬）,C,-143.4,20,3027,9,29.24,885,3027,21.11,639,3027,10.63,134,1260,59.85,79,132,55.27,131,237,36.36,168,462,56.55,95,168
r1CBe6Qe79,なんでやねん,C,+172.55,20,2632,7,30.74,809,2632,21.66,570,2632,10.4,110,1058,62.07,72,116,47.15,91,193,39.1,165,422,58.18,96,165
3liBhfdN10,揚げもち,C,+144.55,20,2369,8,25.07,594,2369,18.91,448,2369,8.83,84,951,65.43,53,81,48.55,67,138,38.11,101,265,63.37,64,101
yokMVzYG_q,AontheRiver,C,+1156.6,20,2247,5,33.56,754,2247,24.88,559,2247,11.14,101,907,71.13,101,142,52.17,108,207,31.34,115,367,58.26,67,115
4_RBXVU9-k,翔斗,C,-3,20,2118,6,23.14,490,2118,16.9,358,2118,5.99,54,902,55.42,46,83,51.56,66,128,26.17,67,256,59.7,40,67
cCFXQyltQ-,engawa,C,-443.65,20,2032,6,29.72,604,2032,18.66,379,2031,9.14,79,864,44.44,36,81,58.54,72,123,33.24,117,352,47.01,55,117
DZezvMNAJy,Noram,C,+392.6,20,2013,9,31.79,640,2013,22.4,451,2013,7.66,63,822,54.26,51,94,51.41,91,177,34.37,122,355,54.92,67,122
O1ujh7Dkxd,shunta,C,-238.35,20,1969,6,27.48,541,1969,17.22,339,1969,7.43,63,848,69.7,46,66,42.11,48,114,35.81,106,296,51.89,55,106
k5rEzFp2MR,arash!,C,+178.15,20,1827,7,31.03,567,1827,22.06,403,1827,12.5,94,752,70.59,48,68,61.07,91,149,28.74,75,261,56.0,42,75
QBTw2JRIw5,Ramune,C,+172.35,20,1612,5,25.99,419,1612,18.42,297,1612,11.3,73,646,45.16,28,62,59.41,60,101,32.54,68,209,45.59,31,68
vdNIJNJGUU,すとふぁ,C,-648.05,20,1611,7,26.94,434,1611,19.18,309,1611,7.11,48,675,55.74,34,61,66.38,77,116,32.46,74,228,51.35,38,74
tqB-r6hdq9,shunsuke11,C,+151.45,20,1463,5,28.64,419,1463,20.44,299,1463,12.04,75,623,66.67,30,45,48.98,48,98,34.92,66,189,59.09,39,66
6N30cpGlP_,Ene,C,+5.35,20,1429,6,32.12,459,1429,22.88,327,1429,11.35,69,608,48.33,29,60,52.78,57,108,31.78,68,214,50.0,34,68
