player_id,プレイヤー,リーグ,収支,bb_size,ハンド数,VPIP,VPIP_hands,PFR,PFR_hands,3bet,3bet_hands,Fold to 3bet,Fold to 3bet_hands,CB,CB_hands,WTSD,WTSD_hands,W$SD,W$SD_hands
gJZixgxva8,tt,C,+115,20,186,63.44,186,4.3,186,8.11,37,0.0,0,66.67,3,16.67,6,100.0,1
D0RgrTLvZk,Yu.,C,+1916,20,184,21.74,184,12.5,184,6.49,77,57.14,7,72.73,11,14.29,21,66.67,3
Lx-JfyAGSv,Sky,C,+1216,20,179,20.11,179,10.06,179,6.25,64,37.5,8,60.0,5,14.29,14,100.0,2
NnZvVXUwZ4,A.,C,+2583,20,177,33.33,177,16.95,177,10.67,75,40.0,10,42.86,7,33.33,30,40.0,10
W7Cn5lVCgg,うりょ,C,+268,20,175,20.0,175,12.0,175,10.26,78,57.14,7,37.5,8,20.0,15,33.33,3
HZmCRZd6SG,Neku,C,+258,20,172,23.26,172,13.95,172,7.14,70,80.0,5,70.0,10,45.0,20,44.44,9
9mJ9fgUOSI,しゅごしゅぎ,C,-675,20,172,24.42,172,15.12,172,6.56,61,50.0,6,37.5,8,35.29,17,66.67,6
B3RqnwXz9D,やす,C,-2604,20,155,24.52,155,16.77,155,14.52,62,100.0,5,44.44,9,25.0,16,25.0,4
OOnwSL9TFS,つだピもん,C,+598,20,154,19.48,154,13.64,154,9.23,65,100.0,2,66.67,3,33.33,9,66.67,3
Jpm3fUR8V3,Tmsan.,C,-2437,20,153,21.57,153,16.34,153,6.35,63,40.0,5,44.44,9,35.29,17,66.67,6
j2dIJuodA7,hanzo,C,+2093,20,151,26.49,151,15.89,151,10.53,57,55.56,9,28.57,7,36.84,19,57.14,7
5AisPL3v5D,ノエル,C,+4900,20,151,26.49,151,17.88,151,18.18,66,25.0,4,56.25,16,35.71,28,50.0,10
F4_m-ucyaY,hi!,C,+555,20,147,29.93,147,17.69,147,15.87,63,20.0,10,40.0,10,20.83,24,40.0,5
cZlE6c84hA,hayahaya,C,-2406,20,138,18.12,138,13.04,138,3.33,60,60.0,5,66.67,6,44.44,9,50.0,4
_lF2fGHNKs,かりんとう,C,+1075,20,138,22.46,138,10.87,138,5.97,67,66.67,9,100.0,3,10.0,10,100.0,1
cpr364TXsN,くま,C,+322,20,136,24.26,136,14.71,136,9.62,52,100.0,4,62.5,8,27.27,11,33.33,3
B-M_0uQTzX,じゃがいもはかせ,C,-5983,20,131,29.01,131,15.27,131,14.58,48,62.5,8,58.33,12,45.45,22,30.0,10
C5nTYVaeTv,iori tobeta,C,-360,20,126,18.25,126,11.9,126,7.27,55,100.0,1,0.0,3,0.0,6,0.0,0
UmZubBYz2l,YOSHI,C,+600,20,124,20.97,124,12.1,124,4.08,49,71.43,7,100.0,2,0.0,6,0.0,0
afwX5VdcTj,はやと,C,-2178,20,119,29.41,119,15.97,119,12.28,57,40.0,5,55.56,9,22.73,22,20.0,5
1N8WVbaold,ゆいき,C,-1742,20,118,18.64,118,7.63,118,3.92,51,60.0,5,66.67,3,45.45,11,20.0,5
hTak04qzcc,tsumu-po,C,+222,20,117,22.22,117,11.11,117,2.5,40,62.5,8,75.0,4,11.11,9,100.0,1
m4kAy6fdo3,nanoblock,C,-1077,20,116,23.28,116,12.93,116,7.84,51,50.0,2,80.0,5,20.0,10,0.0,2
Rk-wT97oiz,たろん,C,-598,20,114,23.68,114,9.65,114,4.17,48,50.0,2,60.0,5,33.33,15,40.0,5
zz83sIdu2k,りく,C,+1582,20,108,31.48,108,21.3,108,10.64,47,62.5,8,85.71,7,9.09,11,0.0,1
5v7PwEvIAz,Kay,C,+690,20,107,16.82,107,10.28,107,4.35,46,60.0,5,66.67,3,14.29,7,100.0,1
6EXZrOgNuV,ふじ,C,+1930,20,102,37.25,102,23.53,102,4.76,42,66.67,6,66.67,6,28.57,14,0.0,4
UHNPbgw1ue,okbokujo,C,-450,20,102,29.41,102,16.67,102,9.09,44,100.0,3,54.55,11,35.0,20,42.86,7
Nk2GHhGRWB,Teto,C,+306,20,100,18.0,100,12.0,100,11.63,43,0.0,0,60.0,5,55.56,9,60.0,5
CsHt4-HRYF,chiffon1468,C,-4315,20,98,34.69,98,22.45,98,16.67,42,77.78,9,88.89,9,26.67,15,25.0,4
DXrWVNkdav,TNT,C,+2711,20,95,63.16,95,38.95,95,34.88,43,30.0,10,71.43,21,21.43,42,66.67,9
kanimiso,kanimiso,C,-2815,20,90,22.22,90,15.56,90,6.67,30,33.33,3,66.67,6,27.27,11,33.33,3
jtxez097_4,shu,C,+3292,20,90,15.56,90,10.0,90,14.63,41,0.0,1,50.0,2,14.29,7,100.0,1
RgmC04JThZ,icchi_tot,C,-703,20,85,21.18,85,8.24,85,6.67,30,37.5,8,100.0,2,28.57,7,50.0,2
kTKNNaxucr,go,C,+853,20,82,45.12,82,13.41,82,18.75,32,80.0,5,50.0,4,60.0,5,33.33,3
teish!,teish!,C,+1384,20,79,26.58,79,13.92,79,10.53,38,100.0,2,80.0,5,33.33,9,100.0,3
MOu3OETQYg,take,C,+2013,20,76,25.0,76,7.89,76,3.03,33,50.0,2,100.0,2,37.5,8,66.67,3
tz49-1PH6t,洋平,C,-1296,20,74,29.73,74,12.16,74,19.35,31,66.67,3,50.0,2,42.86,7,33.33,3
slkZ1a7tQQ,cheep,C,-4000,20,71,26.76,71,9.86,71,3.45,29,0.0,2,66.67,3,28.57,14,75.0,4
gbzSIQE9n9,ふじもん,C,+356,20,70,20.0,70,15.71,70,7.69,26,0.0,1,100.0,2,50.0,4,100.0,2
Riku,Riku,C,-680,20,69,34.78,69,18.84,69,6.9,29,66.67,3,20.0,5,33.33,12,25.0,4
2ioBzArLPg,Takashi,C,-4045,20,67,32.84,67,11.94,67,9.09,22,42.86,7,0.0,1,58.33,12,57.14,7
a16CWi-miN,ヒイラギ,C,+989,20,59,23.73,59,13.56,59,11.11,18,100.0,1,100.0,3,20.0,5,100.0,1
LCoaWJgWNI,ナカツ,C,-2845,20,52,21.15,52,11.54,52,4.55,22,50.0,4,50.0,2,0.0,5,0.0,0
iOgb92C-Hi,sasakure,C,-60,20,45,22.22,45,11.11,45,6.67,15,100.0,1,0.0,0,0.0,2,0.0,0
hTmKIbNOgU,とりん,C,+3329,20,39,23.08,39,12.82,39,0.0,15,0.0,1,66.67,3,42.86,7,33.33,3
VUnZNoYmlO,まーしょ,C,+686,20,37,40.54,37,21.62,37,13.33,15,0.0,1,66.67,6,9.09,11,100.0,1
ofYDapRcOx,meisei,C,-475,20,30,13.33,30,6.67,30,13.33,15,0.0,0,100.0,1,50.0,4,50.0,2
8Zo8apxKnk,KeitaAJ,C,-1980,20,28,17.86,28,7.14,28,11.11,9,0.0,1,100.0,1,0.0,1,0.0,0
A2MC0-G8sO,たつにい,C,-249,20,25,16.0,25,12.0,25,15.38,13,0.0,0,100.0,2,33.33,3,100.0,1
yBFBFrMQaI,tori,C,+793,20,24,33.33,24,4.17,24,0.0,13,0.0,0,0.0,0,20.0,5,100.0,1
inTKIx9iHL,めすおぢ,C,-2000,20,19,26.32,19,15.79,19,0.0,10,0.0,0,100.0,1,0.0,3,0.0,0
Sc5KlYAPzP,mo’,C,-756,20,13,38.46,13,15.38,13,0.0,4,50.0,2,0.0,1,0.0,4,0.0,0
EX56C3XdKO,とーご,C,-150,20,9,33.33,9,11.11,9,33.33,3,0.0,0,0.0,1,0.0,1,0.0,0
vacC8okcYQ,niida,C,-30,20,9,0.0,9,0.0,9,0.0,4,0.0,0,0.0,0,0.0,0,0.0,0
d_vJScRZgf,poker_nyan,C,-30,20,5,80.0,5,0.0,5,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0
Fro,Fro,C,-913,20,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
So,So,C,-3062,20,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
北ふくろー,北ふくろー,C,-635,20,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
