player_id,プレイヤー,リーグ,収支,bb_size,ハンド数,参加節数,VPIP,VPIP_hands,PFR,PFR_hands,3bet,3bet_hands,Fold to 3bet,Fold to 3bet_hands,CB,CB_hands,WTSD,WTSD_hands,W$SD,W$SD_hands
X2HiN5-cFQ,ゴン02（江戸犬）,C,+6429.6,20,1548,3,21.9,1548,18.09,1548,11.57,510,59.32,59,60.42,96,37.78,180,54.41,68
byYrvu0Qdy,ElNino,B,-2528.6,20,1352,3,22.49,1352,17.97,1352,16.67,354,48.15,54,61.29,93,40.35,171,44.93,69
b7sgMo_M-5,konasho,B,-314.2,20,1183,3,21.39,1183,17.24,1183,10.98,428,75.86,58,59.32,59,33.04,115,44.74,38
r1CBe6Qe79,なんでやねん,B,+2148.4,20,1169,3,24.72,1169,18.73,1169,13.86,339,86.0,50,43.84,73,38.41,151,51.72,58
WtIP2AbI23,ノガード,C,+4104,20,1112,3,20.59,1112,17.54,1112,9.86,355,75.0,40,53.03,66,29.81,104,61.29,31
j_3joKfzS9,takatony,B,+1400.6,20,998,2,20.54,998,15.63,998,12.41,282,66.67,48,63.64,44,35.78,109,46.15,39
DXrWVNkdav,TNT,B,-312.4,20,927,3,39.16,927,28.91,927,25.98,281,44.0,50,67.05,88,42.51,207,57.95,88
nPiUhQEVMi,かいる,B,+1466,20,914,3,23.74,914,17.72,914,11.15,260,58.06,31,61.9,63,35.16,128,53.33,45
bqEtnO6wX9,つー,C,+8542.2,20,882,3,23.13,882,16.89,882,7.72,298,51.43,35,65.22,46,34.21,114,53.85,39
Sc5KlYAPzP,mo’,C,+4219.8,20,787,2,23.0,787,18.55,787,16.0,225,60.0,25,48.08,52,33.7,92,41.94,31
k5rEzFp2MR,arash!,B,+2455,20,723,2,26.28,723,20.89,723,11.98,192,61.11,36,58.0,50,40.62,96,46.15,39
g0yui9LXM4,utos,B,-3119.8,20,691,3,30.39,691,23.3,691,17.12,222,55.26,38,61.36,44,39.25,107,33.33,42
hig4fvwo_m,とーち,C,-4507,20,690,2,24.93,690,19.28,690,13.27,211,68.57,35,60.0,40,30.34,89,55.56,27
Oo-rx1G24B,GIL RAIM,C,-5158.4,20,677,2,27.18,677,17.13,677,13.19,182,16.67,18,39.53,43,41.13,124,47.06,51
ZzPjBrJeSm,roi,C,-7270.6,20,659,3,26.1,659,18.97,659,17.39,253,47.62,21,61.22,49,53.21,109,43.1,58
QBTw2JRIw5,Ramune,B,+2104,20,645,2,21.09,645,16.28,645,12.42,161,61.9,21,50.0,46,32.14,84,51.85,27
